i,k,aa_value
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
3,0,0
3,1,1
3,2,0
3,3,0
3,4,0
4,0,0
4,1,1
4,2,0
4,3,0
4,4,6
5,0,2
5,1,1
5,2,36667
5,3,1
5,4,3
6,0,2
6,1,1
6,2,16667
6,3,1
6,4,1
7,0,2
7,1,1
7,2,16666
7,3,1
7,4,1
8,0,2
8,1,1
8,2,10000
8,3,3
8,4,3
9,0,2
9,1,1
9,2,10000
9,3,1
9,4,3
10,0,2
10,1,1
10,2,10000
10,3,1
10,4,2
11,0,2
11,1,1
11,2,3334
11,3,1
11,4,1
12,0,2
12,1,1
12,2,0
12,3,1
12,4,3
13,0,2
13,1,1
13,2,0
13,3,2
13,4,3
14,0,2
14,1,1
14,2,0
14,3,2
14,4,2
15,0,2
15,1,1
15,2,0
15,3,1
15,4,2
16,0,2
16,1,1
16,2,0
16,3,1
16,4,2
17,0,2
17,1,1
17,2,0
17,3,1
17,4,3
18,0,2
18,1,1
18,2,0
18,3,1
18,4,2
19,0,2
19,1,1
19,2,0
19,3,2
19,4,2
20,0,2
20,1,1
20,2,0
20,3,2
20,4,2
21,0,2
21,1,1
21,2,0
21,3,1
21,4,2
22,0,2
22,1,1
22,2,0
22,3,1
22,4,3
23,0,2
23,1,4
23,2,0
23,3,1
23,4,2
